Learner,Adversary,Regime,RewardMode,Reward,RewardCI95,GoodputMbps,GoodputCI95,AdaptiveGoodputMbps,CappedGoodputMbps,FixedGoodputMbps,PDR,PDRCI95,MeanSINRdB,MeanSINRdBCI95,JamHit,JamHitCI95,Overlap,OverlapCI95,SwitchingRate,SwitchingRateCI95,FixedArmRegret,FixedArmRegretCI95,RuntimeSeconds,Tau
Risk-aware EXP4,FOLPETTI-inspired TS,stochastic,outage_capped,0.76513614305994,0.00211972868321831,3.06054457223976,0.00847891473287323,3.60329491902088,3.06054457223976,0.835255,0.835255,0.00171868614384728,13.5695235950264,0.0215723389753008,0.084315,0.0010180760503079,0.0833729196115662,3.57801438703704e-05,0.91737,0.000982071284796094,-1004.41585472424,30.0680154615555,21.993855385,NaN
AUFH-EXP3++-1,FOLPETTI-inspired TS,stochastic,outage_capped,0.617792791756475,0.00181120604345953,2.4711711670259,0.00724482417383812,2.83603449214562,2.4711711670259,0.70233,0.70233,0.00189555515767531,12.6319595968069,0.0201819101353779,0.084425,0.00191480511857089,0.0842086312053252,0.000952232415104011,0.907475,0.00150395091955191,356.071902337816,42.2131174115027,19.67048474,NaN
D-PACT-AFH-Base,FOLPETTI-inspired TS,stochastic,outage_capped,0.89396722737715,0.00175835516032194,3.5758689095086,0.00703342064128776,4.70116390496994,3.5758689095086,0.912885,0.912885,0.00143151874521249,15.8587114160213,0.052324042017326,0.084155,0.00140379295144488,0.0833508485691547,0.000216481191788593,0.91705,0.00108743052046653,-2304.40361081683,38.3506649123851,39.506636225,NaN
D-PACT-AFH,FOLPETTI-inspired TS,stochastic,outage_capped,0.893302661812637,0.00134916322988843,3.57321064725055,0.00539665291955372,4.68919059509518,3.57321064725055,0.912545,0.912545,0.00130867906000871,15.8271458930005,0.0525761630670458,0.084155,0.00139664522790563,0.0833051179828499,0.000197445785011513,0.915315,0.00132547347727043,-2291.00699913831,29.539521482543,39.637542645,NaN
D-PACT-Safe95,FOLPETTI-inspired TS,stochastic,outage_capped,0.895214020378469,0.00159628167819449,3.58085608151387,0.00638512671277797,4.66923623984056,3.58085608151387,0.91605,0.91605,0.00103796272116407,15.7381104197866,0.0748744363932786,0.079295,0.00104175186357556,0.0793561089242276,0.000348146721670162,0.915935,0.0011599242906328,-2326.93992776953,41.3402255414322,39.11824426,0.11
Thompson Sampling,Contextual-expert white-box,stochastic,outage_capped,0.599860196170716,0.00197526326970527,2.39944078468286,0.00790105307882106,2.75305428824083,2.39944078468286,0.68316,0.68316,0.00240379942065407,12.5192170856438,0.0194174699752086,0.104875,0.00176014886631187,0.104587620319124,0.00144307813417283,0.90141,0.00167636847852418,407.909732341144,38.8821679326253,13.012802955,NaN
EXP3,Contextual-expert white-box,stochastic,outage_capped,0.583939305524176,0.00243407065723966,2.33575722209671,0.00973628262895862,2.67996785833419,2.33575722209671,0.66568,0.66568,0.00220071937712242,12.3998757779849,0.0246373515062661,0.1306,0.00243312716261886,0.130279820659668,0.00214075000046312,0.887605,0.00211110312844905,752.016248653,59.6446953165873,5.84801354,NaN
LC-Tsallis-INF-Online,Contextual-expert white-box,stochastic,outage_capped,0.807687231241554,0.00231264664118837,3.23074892496622,0.0092505865647535,4.17223840477932,3.23074892496622,0.831595,0.831595,0.00242523974680313,15.1457220615009,0.0673658501819272,0.172345,0.00257116375821902,0.170512495697053,0.00158435254769706,0.91754,0.00130030352408076,-2015.3841995896,24.1358945398315,19.585902755,NaN
Risk-aware EXP4,Contextual-expert white-box,stochastic,outage_capped,0.733443729764397,0.00185292733548455,2.93377491905759,0.00741170934193821,3.4305760547066,2.93377491905759,0.80716,0.80716,0.0017412967073873,13.2988508505996,0.0218808182933303,0.10482,0.00138582716625734,0.104538952193438,0.000290284296198916,0.91633,0.00129342024269397,-1214.31703999308,16.9786239064664,10.81088902,NaN
AUFH-EXP3++-1,Contextual-expert white-box,stochastic,outage_capped,0.610170982339737,0.00143591067564093,2.44068392935895,0.00574364270256374,2.79823872127818,2.44068392935895,0.69541,0.69541,0.00160161094953931,12.5707019117314,0.0216473848227558,0.089395,0.00121010421386798,0.0902048173071509,0.000668177025765388,0.913065,0.000910401150447896,294.060495601278,22.5938812826723,6.6098128,NaN
D-PACT-AFH-Base,Contextual-expert white-box,stochastic,outage_capped,0.807360133865002,0.00177754548940022,3.22944053546001,0.00711018195760088,4.07509939975008,3.22944053546001,0.84059,0.84059,0.00213493257184291,14.7945019436091,0.052248984096654,0.1607,0.00230625156796409,0.159102254240037,0.00162872544430079,0.91711,0.00119306063374393,-2012.1059520832,20.5060019514512,47.148820165,NaN
D-PACT-AFH,Contextual-expert white-box,stochastic,outage_capped,0.807420067856204,0.00138052436684576,3.22968027142482,0.00552209746738305,3.850907908304,3.22968027142482,0.860135,0.860135,0.00129928269360241,13.8357281903075,0.0179134311704204,0.135185,0.00126769773169607,0.133768490710919,0.000342572293710363,0.916805,0.00125923226317927,-2006.59294776543,16.8630040785884,63.5776256,NaN
D-PACT-Safe95,Contextual-expert white-box,stochastic,outage_capped,0.776247173466545,0.00134156622765414,3.10498869386618,0.00536626491061654,3.5961176020809,3.10498869386618,0.854615,0.854615,0.00165533300259304,13.1700921095675,0.0117788165389986,0.10796,0.00132005672605385,0.108076010208048,4.426757421388e-05,0.918195,0.00138435828873126,-1671.8878098473,16.9581547080425,97.39270577,0.11
